recipe,energie,koolhydraten,waarvan suikers,natrium,eiwit,vet,waarvan verzadigd,vezels
 Bietensoep met selderijroom,160.0,11.0,0.0,1160.0,3.0,11.0,5.0,5.0
 Libanese wraps met appel-koolsalade,440.0,45.0,0.0,440.0,21.0,18.0,3.0,9.0
 Sticky cauliflower (gegrilde bloemkoolroosjes) van Jord Althuizen,235.0,16.0,0.0,800.0,8.0,14.0,2.0,6.0
 Zalmspies met sojaglaze van de BBQ,300.0,17.0,0.0,560.0,16.0,18.0,3.0,2.0
&amp;Suus’ buik-weg-salade,215.0,15.0,0.0,1060.0,20.0,7.0,2.0,7.0
'Burrito'-schotel met knapperige tortillapuntjes,765.0,62.0,0.0,720.0,37.0,37.0,12.0,19.0
'Caprese' hasselback,195.0,7.0,6.0,360.0,10.0,14.0,7.0,2.0
'Caprese' pasteitjes,360.0,18.0,0.0,215.0,12.0,26.0,12.0,2.0
'Hummus' in 15 minuten,515.0,24.0,0.0,600.0,12.0,39.0,5.0,11.0
'Indische' gehaktballetjes met zoete saus,425.0,22.0,0.0,1240.0,17.0,29.0,8.0,1.0
'Leeuwenkoppen' van gehakt en kool,730.0,69.0,0.0,0.0,34.0,35.0,0.0,0.0
'Marokkaanse' lamsbout,633.0,36.0,0.0,402.0,45.0,33.0,9.0,3.0
'Mexicaanse' bonensoep met quesadillas,670.0,75.0,0.0,880.0,38.0,18.0,9.0,28.0
'Nasi' met pindasaus en vegan kipstuckjes ,890.0,110.0,33.0,1560.0,30.0,33.0,6.0,15.0
"'Roti' met vegetarische rulstukjes, bonen &amp; ei ",615.0,64.0,5.0,960.0,37.0,19.0,4.0,20.0
2 x Raita (yoghurtdip) ,135.0,17.0,0.0,65.0,15.0,0.0,0.0,3.0
2x fruitsalade,385.0,70.0,0.0,0.0,4.0,8.0,0.0,0.0
2x gazpacho,278.0,13.0,0.0,0.0,8.0,21.0,0.0,0.0
3-ingrediënten bietenfudge,80.0,7.0,0.0,0.0,1.0,5.0,3.0,2.0
3x kaasballetjes,470.0,11.0,0.0,580.0,17.0,39.0,20.0,3.0
5 spices hot chocolate ,305.0,15.0,0.0,40.0,2.0,26.0,21.0,1.0
5 spices kerstfiguurtjes,90.0,13.0,0.0,30.0,1.0,4.0,3.0,0.0
Aardappel barbecuesalade,210.0,29.0,0.0,0.0,3.0,9.0,0.0,0.0
Aardappel en auberginefrites,490.0,47.0,0.0,0.0,10.0,30.0,0.0,0.0
Aardappel en knolselderij,345.0,48.0,0.0,165.0,8.0,10.0,2.0,14.0
Aardappel en peen,315.0,51.0,0.0,0.0,7.0,9.0,0.0,0.0
Aardappel en prei,380.0,36.0,0.0,20.0,7.0,21.0,8.0,7.0
Aardappel en tomaatpakketjes,320.0,33.0,0.0,0.0,5.0,19.0,0.0,0.0
Aardappel en venkel,410.0,34.0,0.0,0.0,10.0,26.0,0.0,0.0
Aardappel en zuurkool,405.0,40.0,0.0,1950.0,17.0,15.0,10.0,10.0
Aardappel met dip,380.0,45.0,0.0,0.0,5.0,19.0,0.0,0.0
"Aardappel, pastinaak en biet met worst ",760.0,49.0,0.0,1435.0,26.0,49.0,15.0,10.0
Aardappel-bietenrösti met vega-kipragout,205.0,22.0,0.0,405.0,11.0,7.0,1.0,5.0
Aardappel-bloemkoolgratin met hazelnoot,435.0,23.0,0.0,225.0,19.0,29.0,14.0,4.0
Aardappel-broccolischotel,380.0,50.0,0.0,1335.0,20.0,9.0,4.0,8.0
Aardappel-broccolisoep met volkoren kruiden crostini,445.0,37.0,5.0,520.0,15.0,24.0,7.0,10.0
Aardappel-groentecurry,555.0,54.0,0.0,180.0,17.0,28.0,16.0,11.0
Aardappel-hamsalade,570.0,48.0,0.0,0.0,17.0,34.0,0.0,0.0
Aardappel-knolselderijpuree met paddenstoelen,500.0,40.0,0.0,310.0,15.0,29.0,14.0,8.0
Aardappel-preikoekjes met yoghurtdip,390.0,26.0,0.0,480.0,13.0,25.0,11.0,4.0
