,ingredient,group
0,(Belgische) mayonaise,1
1,(arachide)olie,1
2,(houdbare) melk,1
3,(olijf)olie,1
4,(scharrel)braadworst,1
5,(zonnebloem)olie,1
6,1 minuut basmatirijst,1
7,1 minuut witte rijst,1
8,100% notenpasta amandel,1
9,100% pindakaas,1
10,100% pindakaas met stukjes pinda's,1
11,3-kleurenquinoa,1
12,"30+ belegen kaas, in plakken",1
13,30+ kaas,1
14,4-seizoenenpeper,1
15,4-seizoenenpeperkorrels,1
16,5 kruidenpoeder,1
17,5 spicekruiden,1
18,5 spices,1
19,5-kruidenpoeder,1
20,AH 100% pindakaas naturel,1
21,AH 100% pin­da­kaas met stuk­jes pin­da,1
22,AH BASIC iets kruimige aardappelen,1
23,AH BASIC pastasaus basilicum,1
24,AH BASIC spaghetti,1
25,AH BASIC zonnebloemolie,1
26,AH Basic havermout,1
27,AH Biologisch Parmigiano Reggiano,1
28,AH Biologisch afbak robuust stokbrood volkoren,1
29,AH Biologisch afbak rozenbroodjes,1
30,AH Biologisch appelciderazijn,1
31,AH Biologisch buffelmozzarella 52+,1
32,AH Biologisch bulgur,1
33,"AH Biologisch carpaccio met kaas, dressing en pijnboompitten",1
34,AH Biologisch cottage cheese,1
35,AH Biologisch crème fraîche,1
36,"AH Biologisch diepvries rauwe, gepelde garnalen",1
37,AH Biologisch diepvries sperziebonen,1
38,AH Biologisch ei,1
39,AH Biologisch extra pure chocolade 72%,1
40,AH Biologisch feta,1
41,AH Biologisch gedroogde kikkererwten,1
42,AH Biologisch gedroogde rode linzen,1
43,AH Biologisch gedroogde spliterwten,1
44,AH Biologisch gedroogde witte bonen,1
45,AH Biologisch gepelde tomaten in blik,1
46,AH Biologisch gerookte spekreepjes,1
47,AH Biologisch gesneden witte kool,1
48,AH Biologisch kastanjechampignons,1
49,AH Biologisch kikkererwten in pot,1
50,AH Biologisch kipdijfilet,1
51,AH Biologisch komkommer,1
52,AH Biologisch macaroni grande,1
53,AH Biologisch mager rundergehakt,1
54,AH Biologisch mais in pot,1
55,AH Biologisch ontbijtspek,1
56,AH Biologisch pompoen,1
57,AH Biologisch rode ui,1
58,AH Biologisch runderchipolata,1
59,AH Biologisch rundergehakt,1
60,AH Biologisch spelt,1
61,AH Biologisch speltcouscous,1
62,AH Biologisch tofu roerbakreepjes fijn gekruid,1
63,AH Biologisch vanilleroomijs,1
64,AH Biologisch verse gember,1
65,AH Biologisch verse linguine integrali,1
66,AH Biologisch vloerbrood meerzaden,1
67,AH Biologisch volkoren penne rigate,1
68,AH Biologisch volkoren rode rijst,1
69,AH Biologisch volkoren spaghetti,1
70,AH Biologisch zilvervliesrijst,1
71,AH Biologische feta 50+,1
72,AH Biologische koelvers Griekse kalamon-olijf,1
73,AH Excellent Pancetta,1
74,AH Excellent Pommes Rouge aardappel,1
75,AH Excellent Taggia-olijf,1
76,AH Excellent biefstuk,1
77,AH Excellent cherrytomaat,1
78,AH Excellent chorizo pamplona,1
79,AH Excellent eetbare bloemetjes,1
80,AH Excellent entrecote,1
81,AH Excellent gourmande iets kruimige aardappel,1
82,AH Excellent olijfolie knoflook/chilipeper,1
83,AH Excellent ovenschaal beenham met honing mosterdsaus,1
84,AH Excellent risotto rijst,1
85,AH Excellent ultimate beefburger,1
86,AH Excellent verse bruine pistolets,1
87,AH Excellent verse coquille,1
88,AH Excellent verse kruiden voor kruidenboter,1
89,AH Feestfavoriet paddenstoelentrio,1
90,AH Huiswijn rood,1
91,AH Kokosmelk,1
92,AH Liefde &amp; Passie San Francisco zuurdesembrood,1
93,AH Liefde &amp; Passie brood rogge,1
94,AH Liefde &amp; Passie meerzadenbrood,1
95,AH Liefde &amp; Passie volkoren speltbrood ongesneden,1
96,AH Liefde &amp; Passie volkorenbrood,1
97,AH Liefde &amp; Passie wit desembrood met pompoenpitten,1
98,AH Liefde &amp; Passie witbrood,1
99,AH Ovengroente verse groentefriet,1
100,AH Plantaardige rasp naturel,1
101,AH Vrij van gluten broodmix wit,1
102,AH Vrij van gluten pannenkoekenmix,1
103,AH Vrij van gluten zelfrijzend bakmeel,1
104,AH Vrij van glu­ten amandelmeel,1
105,AH basis groentesaus courgette-doperwten,1
106,AH basis groentesaus paprika,1
107,AH basis groentesaus tomaat-wortel,1
108,AH biologisch kokosrasp,1
109,AH cottage cheese,1
110,AH grote garnalen,1
111,AH kippenbouillontablet,1
112,AH plantaardige yoghurt soja ongezoet,1
113,"AH verrijker gojibes, moerbei en pitten",1
114,AH verrijker zaden en pitten mix,1
115,Affligem Blond,1
116,Alpro Go On,1
117,Alpro Mild &amp; Creamy Naturel ongezoet,1
118,Alpro cuisine rijst,1
119,American pancake,1
120,Amerikaanse barbecuesaus,1
121,Amerikaanse coleslaw,1
122,Amerikaanse hamburgerkruiden,1
123,Amsterdamse ui in pot,1
124,Amsterdamse uien,1
125,Amsterdamse uitjes,1
126,Amsterdamse zilveruitjes,1
127,Aperol,1
128,Apetina paneer kaas,1
129,Apetina verse-kaasblokjes,1
130,Appletiser Apple,1
131,Aroy-D kokosmelk,1
132,Aviko diepvries aardappelgratin met emmentaler kaas en room,1
133,Aviko diepvries rösti original,1
134,Aziatische wokgroente,1
135,Aziatische wokgroenten sojabonen,1
136,BYB red cheddar,1
137,Baileys Chocolate orange flavour,1
138,Balsajo zwarte knoflook,1
139,Bastognekoeken,1
140,Beemster plakken oude 30+ kaas,1
141,Belgische mayonaise,1
142,Bellezza mozzarella,1
143,Beretta pancetta a cubetti (pancetta blokjes),1
144,Bertolli pastasaus tradizionale,1
145,Betsie’s volle geitenmelk,1
146,Bettine Blanc geitenkaas 50+,1
147,Bettine Blanc geitenkaas 55+,1
148,Bettine saladebolletje geitenkaas naturel,1
149,Bio Today tahini white in pot,1
150,Bio Today witte tahin,1
151,Bio Today yeast free vegetable stock powder in pot,1
152,BioToday bouillonpoeder gistvrij,1
153,Biologische rode ui,1
154,Biologische tuinkers,1
155,Black Angus burger,1
156,Blue Band kookroom,1
157,Blue Elephant coconut cream,1
158,Blue Stilton blauwaderkaas,1
159,Blue d'Auvergne blauwaderkaas 50+,1
160,Bon Coco kokosmelk light in blik,1
161,Bonduelle crispy mais in blik,1
162,Bonduelle diepvries bloemkoolrijst,1
163,Bonduelle reuzenbonen,1
164,Bonduelle rode kidneybonen,1
165,Bonne Maman abrikozen meer fruit minder suiker,1
166,Bonne Maman bosbessenconfiture,1
167,Bonne Maman meer fruit minder suiker aardbeien,1
168,Boulogne stokbrood,1
169,Brabants roggebrood,1
170,Braeburn appel,1
171,Brouwers bier 0.0 %,1
172,Bulgaarse yoghurt,1
173,Bull's-Eye Original BBQ sauce,1
174,Caesar dressing,1
175,Caesardressing,1
176,Calvé Yoghurt Slasaus,1
177,Campari,1
178,Campina Magere milde kwark kokos,1
179,Cardini original caesardressing,1
180,Caribbean Spice specerijenmelange,1
181,Carisma vastkokende aardappelen,1
182,Castellino funghi porcini secchi,1
183,Catalaanse braadworst,1
184,Catalaanse worstjes,1
185,Cheddar,1
186,Cheddar Tophat,1
187,Cheddar Tophat 48+,1
188,Chinese 5 spice,1
189,Chinese 5-kruidenpoeder,1
190,Chinese eiermie,1
191,Chinese kool,1
192,Chinese roerbakmix,1
193,Chinese stemgember,1
194,Chinese wokgroente kool &amp; sugarsnaps,1
195,Chinese wokgroente sugarsnaps,1
196,Chinese wokgroente sugarsnaps-paksoi,1
197,Chinese wokgroente taugé-rode paprika,1
198,Chioggia biet,1
199,Chioggia-bietje,1
200,Chivers lemon curd,1
201,Coburger ham,1
202,Coburger rauwe ham,1
203,Coco Vita kokoswater,1
204,Cointreau,1
205,Conference handpeer,1
206,Conference peer,1
207,Conimex cassave kroepoek,1
208,Conimex gebakken uitjes,1
209,Conimex nasi kruidenmix,1
210,Conimex pindasaus mild in pot,1
211,Conimex sambal oelek,1
212,Country Cow Cheese slices,1
213,D&amp;L mayonaise met citroen,1
214,D'arbo boshoning,1
215,Damrak Amsterdam gin,1
216,Danablu blauwaderkaas 50+,1
217,De Cecco Linguine n° 7,1
218,De Cecco Rigatoni napoletani,1
219,De Vegetarische Slager rul gehackt,1
220,De Zaanse Hoeve halfvolle melk,1
221,De Zaanse Hoeve mild 30+ geraspt,1
222,De Zaanse Hoeve ongezouten roomboter,1
223,De Zaanse Hoeve verse slagroom,1
224,Delicata extra pure chocolade,1
225,Delicata ruby chocolade,1
226,Dijon mosterd,1
227,Dr. Oetker basismix biscuittaart,1
228,Dr. Oetker blauwe kleurstofstift,1
229,Dr. Oetker chocoladeglazuur,1
230,Dr. Oetker chocolate chips,1
231,Dr. Oetker decoratiestiften choco &amp; karamel,1
232,Dr. Oetker decoratiestiften kleur,1
233,Dr. Oetker gele kleurstof,1
234,Dr. Oetker kleurstoffen,1
235,Dr. Oetker regenboogfantasie,1
236,Dr. Oetker rode kleurstof,1
237,Dr. Oetker rode kleurstofstift,1
238,Dr. Oetker wit glazuur,1
239,Duvel bier,1
240,Eat Natural granooolala cacao &amp; almonds,1
241,Eat Natural noten en zaden,1
242,Elstar appel,1
243,Emmi kaasfondue,1
244,Engelse mosterd,1
245,Euroma Argentijnse grillkruiden,1
246,Euroma Franse ratatouille-kruiden,1
247,Euroma Hollandse kruiden stoof,1
248,Euroma Hollandse kruiden voor groenten,1
249,Euroma Hollandse mossel &amp; vis kruiden,1
250,Euroma Indiase bonenkruiden,1
251,Euroma Italiaanse gehaktkruiden,1
252,Euroma Italiaanse kruiden vriesdroog,1
253,Euroma Mexicaanse tacokruiden,1
254,Euroma Original Spices Thai green curry,1
255,Euroma Original Spices by Jonnie Boer Al-Andalus,1
256,Euroma Original Spices by Jonnie Boer picadillo,1
257,Euroma Original spices Jonny Boer Al-Andalus,1
258,Euroma Original spices by Jonnie Boer Chinese 5 spice,1
259,Euroma Original spices by Jonnie Boer Thai green curry,1
260,Euroma Original spices by Jonnie Boer Vadouvan,1
261,Euroma Original spices by Jonnie Boer baharat kruidenmix,1
262,Euroma Original spices by Jonnie Boer curry madras,1
263,Euroma Original spices by Jonnie Boer lemon pepper,1
264,Euroma Original spices by Jonnie Boer ras el hanout,2
265,Euroma Original spices by Jonnie Boer shichimi togarashi,2
266,Euroma Scandinavische kruiden voor zalm,2
267,Euroma Turkse shoarmakruiden,2
268,Euroma by Jonnie Boer Chinese 5 spice,2
269,Euroma by Jonnie Boer Funghi Trifolati specerijenmelange,2
270,Euroma by Jonnie Boer chili melange,2
271,Euroma by Jonnie Boer chilimelange,2
272,Euroma by Jonnie Boer garam masala,2
273,Euroma chimichurrikruiden,2
274,Euroma gedroogde paddenstoelen,2
275,Euroma mediterrane kruiden,2
276,Euroma peper melange Jonnie Boer,2
277,Euroma sumak,2
278,Euroma's chimichurri kruiden,2
279,Fairtrade Original Biologische pandanrijst,2
280,Fairtrade Original Thaise groene curry kruidenpasta,2
281,Fairtrade Original Thaise rode curry kruidenpasta,2
282,Fairtrade Original Young Jackfruit in blik,2
283,Fairtrade Original kruidenpasta voor Tunesische shakshuka,2
284,Fairtrade gele curry kruidenpasta,2
285,Fairtrade kokosmelk in blik,2
286,Farnese Fantini Montepulciano rode wijn,2
287,Feestfavoriet friszoete stoofpeertjes met kaneel in pot,2
288,Feestfavoriet minigourmetwrap,2
