Unnamed: 0,recipe,ingredient,quantity,unit
108,Bloemkoolschotel,knoflook,16.0,g
109,Bloemkoolschotel,bloemkool,250.0,g
110,Bloemkoolschotel,ongezouten roomboter,50.0,g
111,Bloemkoolschotel,fijngesneden prei,200.0,g
112,Bloemkoolschotel,rundergehakt,300.0,g
113,Bloemkoolschotel,tarwebloem,40.0,g
114,Bloemkoolschotel,volle melk,400.0,g
115,Bloemkoolschotel,belegenkaas,250.0,g
116,Bloemkoolschotel,gemalen nootmuskaat,1.0,g
117,Bloemkoolschotel,aardappelschijfjes,600.0,g
165,Pasta pesto met kipstuckjes en tomatensalade,trostomaat,500.0,g
166,Pasta pesto met kipstuckjes en tomatensalade,mozzarella,250.0,g
167,Pasta pesto met kipstuckjes en tomatensalade,salade-ui,240.0,g
168,Pasta pesto met kipstuckjes en tomatensalade,spaghetti,300.0,g
169,Pasta pesto met kipstuckjes en tomatensalade,vegetarische slager kipstuckjes,160.0,g
170,Pasta pesto met kipstuckjes en tomatensalade,milde olijfolie,36.0,g
171,Pasta pesto met kipstuckjes en tomatensalade,balsamicoazijn,500.0,g
172,Pasta pesto met kipstuckjes en tomatensalade,rucola slamelange,75.0,g
173,Pasta pesto met kipstuckjes en tomatensalade,verse groene pesto,125.0,g
259,"Couscous met kip, bospeen en cranberrysaus",bospeen,600.0,g
260,"Couscous met kip, bospeen en cranberrysaus",rode ui,200.0,g
261,"Couscous met kip, bospeen en cranberrysaus",kipdijfilet,395.0,g
262,"Couscous met kip, bospeen en cranberrysaus",perssinaasappel,1.0,g
263,"Couscous met kip, bospeen en cranberrysaus",zonnebloemolie,48.0,g
264,"Couscous met kip, bospeen en cranberrysaus",cranberrysaus,75.0,g
265,"Couscous met kip, bospeen en cranberrysaus",couscous,300.0,g
266,"Couscous met kip, bospeen en cranberrysaus",verse peterselie,15.0,g
267,Lekkerbekje met aardappel en groente uit de oven,koelverse aardappelpartjes met schil,1000.0,g
268,Lekkerbekje met aardappel en groente uit de oven,arachideolie,20.0,g
269,Lekkerbekje met aardappel en groente uit de oven,diepvries lekkerbekje,400.0,g
270,Lekkerbekje met aardappel en groente uit de oven,Italiaanse roerbakmix cavolo nero,400.0,g
271,Lekkerbekje met aardappel en groente uit de oven,champignons,250.0,g
272,Lekkerbekje met aardappel en groente uit de oven,koelverse pestospread,90.0,g
316,Portobellosteaks met aardappelpuree,portobello,760.0,g
317,Portobellosteaks met aardappelpuree,rode ui,100.0,g
318,Portobellosteaks met aardappelpuree,korianderzaad,12.0,g
319,Portobellosteaks met aardappelpuree,knoflook,32.0,g
320,Portobellosteaks met aardappelpuree,zoet gerookt paprikapoeder,12.0,g
321,Portobellosteaks met aardappelpuree,ketchup,24.0,g
322,Portobellosteaks met aardappelpuree,milde olijfolie,170.0,g
323,Portobellosteaks met aardappelpuree,kruimige aardappel,1000.0,g
324,Portobellosteaks met aardappelpuree,melk,150.0,g
325,Portobellosteaks met aardappelpuree,ongezouten roomboter,30.0,g
326,Portobellosteaks met aardappelpuree,rucola,85.0,g
394,Hutspot met hertenbiefstuk,hertenbiefstuk,1000.0,g
