,recipe,ingredient,quantity,unit
0,Kruidnoten met choco-discodip,melkchocolade,100.0,g
1,Kruidnoten met choco-discodip,kruidnoten,100.0,g
2,Kruidnoten met choco-discodip,discodip,20.0,g
3,Kruidnoten in marsepein,blankemarsepein,150.0,g
4,Kruidnoten in marsepein,ongezouten roomboter,15,g
5,Kruidnoten in marsepein,kruidnoten,60.0,g
6,Kruidnoten in marsepein,nougatine in bakje,12,g
7,Kruidnoten met chocodips,pure chocolade,100.0,g
8,Kruidnoten met chocodips,ongezouten roomboter,4,g
9,Kruidnoten met chocodips,kruidnoten,100.0,g
10,Kruidnoten met chocodips,cacaopoeder,1000.0,g
11,Kruidnoten met chocodips,hagelslag puur,30.0,g
12,Pepernotentaart met marsepeinstrik,ongezouten roomboter,350,g
13,Pepernotentaart met marsepeinstrik,witte basterdsuiker,100.0,g
14,Pepernotentaart met marsepeinstrik,vanille-extract,4.0,g
15,Pepernotentaart met marsepeinstrik,zout,2.0,g
16,Pepernotentaart met marsepeinstrik,middelgroot ei,180.0,g
17,Pepernotentaart met marsepeinstrik,tarwebloem,200.0,g
18,Pepernotentaart met marsepeinstrik,bakpoeder,500.0,g
19,Pepernotentaart met marsepeinstrik,poedersuiker,150,g
20,Pepernotentaart met marsepeinstrik,aardbeienjam,20.0,g
21,Pepernotentaart met marsepeinstrik,rode marsepein,100.0,g
22,Pepernotentaart met marsepeinstrik,kruidnoten,150.0,g
23,Perencake,middelgroot ei,180.0,g
24,Perencake,Griekse yoghurt 10%,150.0,g
25,Perencake,fijne kristalsuiker,200.0,g
26,Perencake,vanille-extract,2.0,g
27,Perencake,zonnebloemolie,100.0,g
28,Perencake,tarwebloem,250.0,g
29,Perencake,bakpoeder,500.0,g
30,Perencake,zout,2.0,g
31,Perencake,peer,1113.0,g
32,Massaman curry,koelverse sereh citroengras,30.0,g
33,Massaman curry,kokosmelk,800.0,g
34,Massaman curry,water,150.0,g
35,Massaman curry,laurierblad,15.0,g
36,Massaman curry,steranijs,10.0,g
37,Massaman curry,ribrunderlap,800.0,g
38,Massaman curry,kardemompeulen,20.0,g
39,Massaman curry,korianderzaad,4.0,g
40,Massaman curry,komijnzaad,4.0,g
41,Massaman curry,kruidnagel,4.0,g
42,Massaman curry,witte peperkorrels,2.5,g
43,Massaman curry,chilivlokken,2.0,g
44,Massaman curry,gemalen kaneel,2.0,g
45,Massaman curry,verse laoswortel (galangal),15.0,g
46,Massaman curry,sjalot,75.0,g
47,Massaman curry,knoflook,40.0,g
48,Massaman curry,rode peper,20.0,g
49,Massaman curry,zout,2.0,g
50,Massaman curry,garnalenpasta in potje,1.0,g
51,Massaman curry,water,30.0,g
52,Massaman curry,vastkokende aardappel,200.0,g
53,Massaman curry,zoete aardappel,200.0,g
54,Massaman curry,zoete ui,100.0,g
55,Massaman curry,tamarindepasta,13.0,g
56,Massaman curry,vissaus,15.0,g
57,Massaman curry,kokosbloesemsuiker,24.0,g
58,Massaman curry,ongezouten pinda's,50,g
71,Ajam pangang,limoen,120.0,g
72,Ajam pangang,scharrel kippenpoten naturel,720.0,g
73,Ajam pangang,zout,2.0,g
74,Ajam pangang,sjalot,40.0,g
75,Ajam pangang,knoflook,32.0,g
76,Ajam pangang,rode peper,40.0,g
77,Ajam pangang,witte peper,5.0,g
78,Ajam pangang,arachideolie,20.0,g
79,Ajam pangang,ongezouten roomboter,30,g
80,Ajam pangang,ketjap manis,100.0,g
81,Ajam pangang,water,500.0,g
94,Appelkruimeltaart,middelgroot ei,60.0,g
95,Appelkruimeltaart,citroen,32.5,g
96,Appelkruimeltaart,tarwebloem,450.0,g
97,Appelkruimeltaart,bakpoeder,250.0,g
98,Appelkruimeltaart,witte basterdsuiker,250.0,g
99,Appelkruimeltaart,zout,0.5,g
100,Appelkruimeltaart,ongezouten roomboter,250,g
101,Appelkruimeltaart,vanille-extract,2.0,g
102,Appelkruimeltaart,koek- en speculaaskruiden,4.0,g
103,Appelkruimeltaart,water,5.0,g
104,Appelkruimeltaart,Appels,875.0,g
105,Appelkruimeltaart,rozijnen,60.0,g
106,Appelkruimeltaart,custardpoeder,10.0,g
107,Appelkruimeltaart,poedersuiker,4,g
108,Bloemkoolschotel,knoflook,16.0,g
109,Bloemkoolschotel,bloemkool,250.0,g
110,Bloemkoolschotel,ongezouten roomboter,50,g
111,Bloemkoolschotel,fijngesneden prei,200.0,g
112,Bloemkoolschotel,rundergehakt,300.0,g
113,Bloemkoolschotel,tarwebloem,40.0,g
114,Bloemkoolschotel,volle melk,400.0,g
115,Bloemkoolschotel,belegenkaas,250.0,g
116,Bloemkoolschotel,gemalen nootmuskaat,1.0,g
117,Bloemkoolschotel,aardappelschijfjes,600.0,g
118,Tartelettes,bloem,200.0,g
119,Tartelettes,amandelmeel,30.0,g
120,Tartelettes,poedersuiker,80,g
121,Tartelettes,zout,1.0,g
122,Tartelettes,ongezouten roomboter,120,g
123,Tartelettes,middelgroot ei,60.0,g
124,Pico de gallo,middelgrote ui,100.0,g
125,Pico de gallo,romatomaat,750.0,g
126,Pico de gallo,jalapenopeper,45.0,g
127,Pico de gallo,verse koriander,10.0,g
128,Pico de gallo,limoen,60.0,g
129,Pico de gallo,zeezout,2.5,g
130,Pierogi,ongezouten roomboter,150,g
131,Pierogi,kraanwater,100.0,g
132,Pierogi,patentbloem,250,g
133,Pierogi,zout,2.0,g
134,Pierogi,groot ei,63.0,g
135,Pierogi,vastkokende aardappel,400.0,g
136,Pierogi,cheddar,75.0,g
137,Pierogi,sour cream,125.0,g
138,Pierogi,verse platte peterselie,7.5,g
139,Sajoer boontjes ,verse sperziebonen,500.0,g
140,Sajoer boontjes ,sjalot,20.0,g
141,Sajoer boontjes ,knoflook,32.0,g
142,Sajoer boontjes ,verse laoswortel (galangal),15.0,g
143,Sajoer boontjes ,verse gember,15.0,g
144,Sajoer boontjes ,arachideolie,10.0,g
145,Sajoer boontjes ,gedroogde limoenblaadjes,20.0,g
146,Sajoer boontjes ,laurierblaadje,10.0,g
147,Sajoer boontjes ,sambal oelek,24.0,g
148,Sajoer boontjes ,kruiden,1.125,g
149,Sajoer boontjes ,palmsuiker,4,g
150,Sajoer boontjes ,water,280.0,g
151,Sajoer boontjes ,santen kokoscrème,24.0,g
165,Pasta pesto met kipstuckjes en tomatensalade,trostomaat,500.0,g
166,Pasta pesto met kipstuckjes en tomatensalade,mozzarella,250,g
167,Pasta pesto met kipstuckjes en tomatensalade,salade-ui,240.0,g
168,Pasta pesto met kipstuckjes en tomatensalade,spaghetti,300.0,g
169,Pasta pesto met kipstuckjes en tomatensalade,vegetarische slager kipstuckjes,160.0,g
170,Pasta pesto met kipstuckjes en tomatensalade,milde olijfolie,36.0,g
171,Pasta pesto met kipstuckjes en tomatensalade,balsamicoazijn,500.0,g
172,Pasta pesto met kipstuckjes en tomatensalade,rucola slamelange,75.0,g
173,Pasta pesto met kipstuckjes en tomatensalade,verse groene pesto,125.0,g
174,Hutspot met vegetarische rookworst en jus,Aardappel,1000.0,g
175,Hutspot met vegetarische rookworst en jus,hutspotgroenten,1000.0,g
176,Hutspot met vegetarische rookworst en jus,bouillon,10.0,g
177,Hutspot met vegetarische rookworst en jus,unox vegetarische rookworst,1.0,g
178,Hutspot met vegetarische rookworst en jus,milde olijfolie,12.0,g
179,Hutspot met vegetarische rookworst en jus,vega speckreepjes gerookt,125.0,g
180,Hutspot met vegetarische rookworst en jus,water,250.0,g
181,Hutspot met vegetarische rookworst en jus,Knorr mix voor jus met uitjes,24.0,g
182,Hutspot met vegetarische rookworst en jus,milde mosterd,12.0,g
235,"Orzo met kalkoen, spinazie en geitenkaas",milde olijfolie,24.0,g
